time;model_id;model_name;port_name;data
45.3614;1;blinky;out;0
45.3614;1;blinky;;Status:, 1, sigma: 0.75
46.1114;1;blinky;out;1
46.1114;1;blinky;;Status:, 0, sigma: 0.75
46.8614;1;blinky;out;0
46.8614;1;blinky;;Status:, 1, sigma: 0.75
47.6114;1;blinky;out;1
47.6114;1;blinky;;Status:, 0, sigma: 0.75
48.3614;1;blinky;out;0
48.3614;1;blinky;;Status:, 1, sigma: 0.75
49.1114;1;blinky;out;1
49.1114;1;blinky;;Status:, 0, sigma: 0.75
49.8614;1;blinky;out;0
49.8614;1;blinky;;Status:, 1, sigma: 0.75
50.6114;1;blinky;out;1
50.6114;1;blinky;;Status:, 0, sigma: 0.75
51.3614;1;blinky;out;0
51.3614;1;blinky;;Status:, 1, sigma: 0.75
52.1114;1;blinky;out;1
52.1114;1;blinky;;Status:, 0, sigma: 0.75
52.8614;1;blinky;out;0
52.8614;1;blinky;;Status:, 1, sigma: 0.75
53.6114;1;blinky;out;1
53.6114;1;blinky;;Status:, 0, sigma: 0.75
54.3614;1;blinky;out;0
54.3614;1;blinky;;Status:, 1, sigma: 0.75
55.1114;1;blinky;out;1
55.1114;1;blinky;;Status:, 0, sigma: 0.75
55.8614;1;blinky;out;0
55.8614;1;blinky;;Status:, 1, sigma: 0.75
56.6114;1;blinky;out;1
56.6114;1;blinky;;Status:, 0, sigma: 0.75
57.3614;1;blinky;out;0
57.3614;1;blinky;;Status:, 1, sigma: 0.75
58.1114;1;blinky;out;1
58.1114;1;blinky;;Status:, 0, sigma: 0.75
58.8614;1;blinky;out;0
58.8614;1;blinky;;Status:, 1, sigma: 0.75
59.398;1;blinky;;Status:, 1, sigma: 3
59.398;2;generator;out;0
59.398;2;generator;;Status:, 0
62.398;1;blinky;out;1
62.398;1;blinky;;Status:, 0, sigma: 3
65.398;1;blinky;out;0
65.398;1;blinky;;Status:, 1, sigma: 3
68.398;1;blinky;out;1
68.398;1;blinky;;Status:, 0, sigma: 3
71.3644;1;blinky;;Status:, 0, sigma: 0.75
71.3644;2;generator;out;0
71.3644;2;generator;;Status:, 0
72.1144;1;blinky;out;0
72.1144;1;blinky;;Status:, 1, sigma: 0.75
72.8644;1;blinky;out;1
72.8644;1;blinky;;Status:, 0, sigma: 0.75
73.6144;1;blinky;out;0
73.6144;1;blinky;;Status:, 1, sigma: 0.75
74.3644;1;blinky;out;1
74.3644;1;blinky;;Status:, 0, sigma: 0.75
75.1144;1;blinky;out;0
75.1144;1;blinky;;Status:, 1, sigma: 0.75
75.8644;1;blinky;out;1
75.8644;1;blinky;;Status:, 0, sigma: 0.75
76.6144;1;blinky;out;0
76.6144;1;blinky;;Status:, 1, sigma: 0.75
77.3644;1;blinky;out;1
77.3644;1;blinky;;Status:, 0, sigma: 0.75
78.1144;1;blinky;out;0
78.1144;1;blinky;;Status:, 1, sigma: 0.75
78.8644;1;blinky;out;1
78.8644;1;blinky;;Status:, 0, sigma: 0.75
79.6144;1;blinky;out;0
79.6144;1;blinky;;Status:, 1, sigma: 0.75
80.3644;1;blinky;out;1
80.3644;1;blinky;;Status:, 0, sigma: 0.75
81.1144;1;blinky;out;0
81.1144;1;blinky;;Status:, 1, sigma: 0.75
81.8644;1;blinky;out;1
81.8644;1;blinky;;Status:, 0, sigma: 0.75
82.6144;1;blinky;out;0
82.6144;1;blinky;;Status:, 1, sigma: 0.75
83.3644;1;blinky;out;1
83.3644;1;blinky;;Status:, 0, sigma: 0.75
84.1144;1;blinky;out;0
84.1144;1;blinky;;Status:, 1, sigma: 0.75
84.8644;1;blinky;out;1
84.8644;1;blinky;;Status:, 0, sigma: 0.75
85.6144;1;blinky;out;0
85.6144;1;blinky;;Status:, 1, sigma: 0.75
86.3429;1;blinky;;Status:, 1, sigma: 3
86.3429;2;generator;out;0
86.3429;2;generator;;Status:, 0
89.3429;1;blinky;out;1
89.3429;1;blinky;;Status:, 0, sigma: 3
92.3429;1;blinky;out;0
92.3429;1;blinky;;Status:, 1, sigma: 3
95.3429;1;blinky;out;1
95.3429;1;blinky;;Status:, 0, sigma: 3
98.3429;1;blinky;out;0
98.3429;1;blinky;;Status:, 1, sigma: 3
98.8849;1;blinky;;Status:, 1, sigma: 0.75
98.8849;2;generator;out;0
98.8849;2;generator;;Status:, 0
99.6349;1;blinky;out;1
99.6349;1;blinky;;Status:, 0, sigma: 0.75
100.385;1;blinky;out;0
100.385;1;blinky;;Status:, 1, sigma: 0.75
101.135;1;blinky;out;1
101.135;1;blinky;;Status:, 0, sigma: 0.75
101.885;1;blinky;out;0
101.885;1;blinky;;Status:, 1, sigma: 0.75
102.635;1;blinky;out;1
102.635;1;blinky;;Status:, 0, sigma: 0.75
103.385;1;blinky;out;0
103.385;1;blinky;;Status:, 1, sigma: 0.75
104.135;1;blinky;out;1
104.135;1;blinky;;Status:, 0, sigma: 0.75
104.885;1;blinky;out;0
104.885;1;blinky;;Status:, 1, sigma: 0.75
105.635;1;blinky;out;1
105.635;1;blinky;;Status:, 0, sigma: 0.75
106.385;1;blinky;out;0
106.385;1;blinky;;Status:, 1, sigma: 0.75
107.135;1;blinky;out;1
107.135;1;blinky;;Status:, 0, sigma: 0.75
107.885;1;blinky;out;0
107.885;1;blinky;;Status:, 1, sigma: 0.75
108.635;1;blinky;out;1
108.635;1;blinky;;Status:, 0, sigma: 0.75
109.385;1;blinky;out;0
109.385;1;blinky;;Status:, 1, sigma: 0.75
110.135;1;blinky;out;1
110.135;1;blinky;;Status:, 0, sigma: 0.75
110.885;1;blinky;out;0
110.885;1;blinky;;Status:, 1, sigma: 0.75
111.635;1;blinky;out;1
111.635;1;blinky;;Status:, 0, sigma: 0.75
112.385;1;blinky;out;0
112.385;1;blinky;;Status:, 1, sigma: 0.75
113.135;1;blinky;out;1
113.135;1;blinky;;Status:, 0, sigma: 0.75
113.885;1;blinky;out;0
113.885;1;blinky;;Status:, 1, sigma: 0.75
114.195;1;blinky;;Status:, 1, sigma: 3
114.195;2;generator;out;0
114.195;2;generator;;Status:, 0
117.195;1;blinky;out;1
117.195;1;blinky;;Status:, 0, sigma: 3
120.195;1;blinky;out;0
120.195;1;blinky;;Status:, 1, sigma: 3
123.195;1;blinky;out;1
123.195;1;blinky;;Status:, 0, sigma: 3
126.195;1;blinky;out;0
126.195;1;blinky;;Status:, 1, sigma: 3
129.195;1;blinky;out;1
129.195;1;blinky;;Status:, 0, sigma: 3
131.333;1;blinky;;Status:, 0, sigma: 0.75
131.333;2;generator;out;0
131.333;2;generator;;Status:, 0
132.083;1;blinky;out;0
132.083;1;blinky;;Status:, 1, sigma: 0.75
132.833;1;blinky;out;1
132.833;1;blinky;;Status:, 0, sigma: 0.75
133.583;1;blinky;out;0
133.583;1;blinky;;Status:, 1, sigma: 0.75
134.333;1;blinky;out;1
134.333;1;blinky;;Status:, 0, sigma: 0.75
135.083;1;blinky;out;0
135.083;1;blinky;;Status:, 1, sigma: 0.75
135.833;1;blinky;out;1
135.833;1;blinky;;Status:, 0, sigma: 0.75
136.583;1;blinky;out;0
136.583;1;blinky;;Status:, 1, sigma: 0.75
137.333;1;blinky;out;1
137.333;1;blinky;;Status:, 0, sigma: 0.75
138.083;1;blinky;out;0
138.083;1;blinky;;Status:, 1, sigma: 0.75
138.833;1;blinky;out;1
138.833;1;blinky;;Status:, 0, sigma: 0.75
139.583;1;blinky;out;0
139.583;1;blinky;;Status:, 1, sigma: 0.75
140.333;1;blinky;out;1
140.333;1;blinky;;Status:, 0, sigma: 0.75
141.083;1;blinky;out;0
141.083;1;blinky;;Status:, 1, sigma: 0.75
141.833;1;blinky;out;1
141.833;1;blinky;;Status:, 0, sigma: 0.75
142.583;1;blinky;out;0
142.583;1;blinky;;Status:, 1, sigma: 0.75
143.333;1;blinky;out;1
143.333;1;blinky;;Status:, 0, sigma: 0.75
144.083;1;blinky;out;0
144.083;1;blinky;;Status:, 1, sigma: 0.75
144.833;1;blinky;out;1
144.833;1;blinky;;Status:, 0, sigma: 0.75
145.583;1;blinky;out;0
145.583;1;blinky;;Status:, 1, sigma: 0.75
146.333;1;blinky;out;1
146.333;1;blinky;;Status:, 0, sigma: 0.75
147.083;1;blinky;out;0
147.083;1;blinky;;Status:, 1, sigma: 0.75
147.833;1;blinky;out;1
147.833;1;blinky;;Status:, 0, sigma: 0.75
148.006;1;blinky;;Status:, 0, sigma: 3
148.006;2;generator;out;0
148.006;2;generator;;Status:, 0
